source,target,error_indices
First of all I should go to Camp California only July because I will start working in our local leisure centre as a swimming instructer,First of all I should go to Camp California only July because I will start working in our local leisure centre as a swimming instructor,[24]
But when we thing properly shopping is not enjoyable for example if you forget something that need for salat,But when we thing properly shopping is not enjoyable for example if you forget something that need for salad,[18]
You have to go back this supermarket and find nearest parking space then before someone takes the their last fresh lemon for your salat you must find where was the lemon section before because they love change the store again and again,You have to go back this supermarket and find nearest parking space then before someone takes the their last fresh lemon for your salad you must find where was the lemon section before because they love change the store again and again,[23]
But at big suprise I saw that the actor was different and I was very disappointed,But at big surprise I saw that the actor was different and I was very disappointed,[3]
I was very ungry with her I did n't know what to do I was afraid that I would have lost all my friends,I was very angry with her I did n't know what to do I was afraid that I would have lost all my friends,[3]
After a few seconds of thoughts I went straigh to Pat Why why did you do that,After a few seconds of thoughts I went straight to Pat Why why did you do that,[8]
When I asked for the price I was surprised becaused the seller told there was n't any discount available,When I asked for the price I was surprised because the seller told there was n't any discount available,[9]
After two hours I thought that all of this information was writted from a foreign point of view and it was n't the native opinion,After two hours I thought that all of this information was written from a foreign point of view and it was n't the native opinion,[11]
Changes wo n't stop it 's caming the WAP technology you 'll buy a cake in a corner 's machine without any coin only one call digital TV virtual reality and more,Changes wo n't stop it 's coming the WAP technology you 'll buy a cake in a corner 's machine without any coin only one call digital TV virtual reality and more,[6]
Unfortunatly Pat was n't very good at keeping secrets,Unfortunately Pat was n't very good at keeping secrets,[0]
I would prefer to stay in a tent to a cabin Because it is something I feel mores familia I used to go camping with my family every summer,I would prefer to stay in a tent to a cabin Because it is something I feel mores familiar I used to go camping with my family every summer,[18]
RECOMMONDATIONS,RECOMMENDATIONS,[0]
I have just received your letter informing me that I won a two week holiday at Camp California so I am writing to you to indicate my preferences for the travel and the accomodation,I have just received your letter informing me that I won a two week holiday at Camp California so I am writing to you to indicate my preferences for the travel and the accomodation,[]
About the accomodation I have no problems but I would prefer staying in tent so that the holiday may be more adventurous,About the accommodation I have no problems but I would prefer staying in tent so that the holiday may be more adventurous,[2]
Yours faithfuly,Yours faithfully,[1]
I could say that we can not servive without them,I could say that we can not survive without them,[7]
It is getting more convinient and useful than our past life,It is getting more convenient and useful than our past life,[4]
Because of convinience we can spend time more effectively but we should not be rely on these too much,Because of convenience we can spend time more effectively but we should not be rely on these too much,[2]
In my oppinion in a hundred of years we 'll wear the same kind of clothes that we wear nowadays,In my opinion in a hundred of years we 'll wear the same kind of clothes that we wear nowadays,[2]
I recived your letter and I 'm very happy because I did n't expect it so first of all I want you know that I really fancy going at Camp California in the U.S.A during two weeks and specially because I 've never been in this country,I received your letter and I 'm very happy because I did n't expect it so first of all I want you know that I really fancy going at Camp California in the U.S.A during two weeks and specially because I 've never been in this country,[1]
Finally I want to find out about if is any supermarket near the camping and if there are any facilities in washing my clotches into the camp,Finally I want to find out about if is any supermarket near the camping and if there are any facilities in washing my clothes into the camp,[23]
I look forward to reciving a reply from you,I look forward to receiving a reply from you,[4]
Sometimes you have to park your car in a futher place then walk to the supermarket,Sometimes you have to park your car in a further place then walk to the supermarket,[9]
As I understand is very imortant to confirm the date of travelling,As I understand is very important to confirm the date of travelling,[5]
Now about accomodation If it is possible I would prefer to stay in tent,Now about accommodation If it is possible I would prefer to stay in tent,[2]
Also I like swimming and I 've got two year experience in teaching swimming in lesure centre,Also I like swimming and I 've got two year experience in teaching swimming in leisure centre,[15]
I think it is an opportunity to meet different people even if they are pushing you to understand what they like and what they do n't because even some kind of food could be in fashing,I think it is an opportunity to meet different people even if they are pushing you to understand what they like and what they do n't because even some kind of food could be in fashing,[]
I am writting this letter to inform you I had a very disappointing evening during your musical show Over the rainbow at the Circle Theatre where you are the director,I am writing this letter to inform you I had a very disappointing evening during your musical show Over the rainbow at the Circle Theatre where you are the director,[2]
This was a very difficult decission but I had to take it because of my personal situation all the time shouting and fighting will all my family,This was a very difficult decision but I had to take it because of my personal situation all the time shouting and fighting will all my family,[5]
Then I thougt that I should go to the theatre restaurant to have a drink or eat something so that I could n't say that I wasted my time by coming here,Then I thought that I should go to the theatre restaurant to have a drink or eat something so that I could n't say that I wasted my time by coming here,[2]
Competers entirely changed people lives,Computers entirely changed people lives,[0]
I wo n't never forget the day the doctor told me and my Mum the thruth of my strange disease,I wo n't never forget the day the doctor told me and my Mum the truth of my strange disease,[15]
Before it was packed into by audience we had to clean around the reception but totally it was really exciting although I was just a staff in the small reception because I felt great excitement especially girls from people queing,Before it was packed into by audience we had to clean around the reception but totally it was really exciting although I was just a staff in the small reception because I felt great excitement especially girls from people queing,[]
My daily life has also changed a lot through the use of computer or mordern technology,My daily life has also changed a lot through the use of computer or modern technology,[14]
Regarding the accommodation I would prefer a log cabin because in my opinion tents are very uncomfortable to sleep and they are n't very cozy,Regarding the accommodation I would prefer a log cabin because in my opinion tents are very uncomfortable to sleep and they are n't very cosy,[24]
Firsty I would like to thank you warmly for this great prize,Firstly I would like to thank you warmly for this great prize,[0]
It 's a sad story but it makes you know a tipe of life that you ca n't imagine that really exists,It 's a sad story but it makes you know a type of life that you ca n't imagine that really exists,[11]
I have a lot of posibilities for spending my spare time,I have a lot of possibilities for spending my spare time,[5]
Their lessons are valuable rich in knowledge and funy,Their lessons are valuable rich in knowledge and funy,[]
It can maks the video more interesting,It can make the video more interesting,[2]
My school starts a summer holyday from 1st July and I am going to take a summer course from August,My school starts a summer holiday from 1st July and I am going to take a summer course from August,[5]
During the camp I would like to pratise my swimming I have attended swimming lessons for 3 years and also I would like to learn how to do some good photos,During the camp I would like to practise my swimming I have attended swimming lessons for 3 years and also I would like to learn how to do some good photos,[7]
In that moment I was realy angry so to calm down I went to the theatre restaurant but it was closed because of its bad cleaning and food,In that moment I was really angry so to calm down I went to the theatre restaurant but it was closed because of its bad cleaning and food,[5]
To begin with it was not Danny Book who acting in the show as you wrotte,To begin with it was not Danny Book who acting in the show as you wrotte,[]
I looking forwart to hear from you,I looking forward to hear from you,[2]
Clothes is very interesting subjekt to study,Clothes is very interesting subject to study,[4]
Your sincerelly,Your sincerely,[1]
I am afraid that I could n't write you immediatly but last month I enjoyed helping at a pop concert and so I am very busy,I am afraid that I could n't write you immediately but last month I enjoyed helping at a pop concert and so I am very busy,[9]
About the accomodation I would prefer to stay in a cabin,About the accommodation I would prefer to stay in a cabin,[2]
I chose climbing because I 'm intrested in this sport even if I 'm not experienced,I chose climbing because I 'm interested in this sport even if I 'm not experienced,[6]
Before the concert I helped in carring and putting in order some chairs on which would sit some special persons,Before the concert I helped in carrying and putting in order some chairs on which would sit some special persons,[6]
On the advertisement it said that discounts are availble but when I asked a staff in the theatre about the discount he did n't offer me one,On the advertisement it said that discounts are available but when I asked a staff in the theatre about the discount he did n't offer me one,[8]
I excpect this will be possible,I expect this will be possible,[1]
Like earings necklaces bracelets rings glasses hairbands hand bags shoes watches etc,Like earrings necklaces bracelets rings glasses hairbands hand bags shoes watches etc,[1]
We had a great time together until we decided to visit the musical Over the Rainbow in the Circle Theater,We had a great time together until we decided to visit the musical Over the Rainbow in the Circle Theater,[]
I used to join the singing club when I was a high school student and once we won the contest moreover painting is one of my favorite hobbies,I used to join the singing club when I was a high school student and once we won the contest moreover painting is one of my favorite hobbies,[]
My dear friend if I tell you this I am sure you will get jelous,My dear friend if I tell you this I am sure you will get jelous,[]
I 'd appriciate for giving me the first prize in the competition,I 'd appreciate for giving me the first prize in the competition,[2]
The aim of this report is to summerize the result of the survey which is about making a short video,The aim of this report is to summarize the result of the survey which is about making a short video,[7]
Among the activities I would choose painting which I am keen on and I have done several courses and Photography from which I know just the basical skills,Among the activities I would choose painting which I am keen on and I have done several courses and Photography from which I know just the basical skills,[]
I 'm writting this letter to inform you about the disappointing evening I had when I visited the Circle theatre,I 'm writing this letter to inform you about the disappointing evening I had when I visited the Circle theatre,[2]
First of all we 'd like to thank you for the programme you all ready arrange it 's wonderful because it covers most of our interrests,First of all we 'd like to thank you for the programme you all ready arrange it 's wonderful because it covers most of our interrests,[]
But also we would like to visit The London Fashion and Leisure show that will be held at the Central kExhibition hall on Tuesday March 14 from 10:00 19:00,But also we would like to visit The London Fashion and Leisure show that will be held at the Central Exhibition hall on Tuesday March 14 from 10:00 19:00,[20]
Thank you for your time and We 're looking forward to hearing from your opion,Thank you for your time and We 're looking forward to hearing from your opion,[]
Since always I 'd gotten the idea of travel abroad and experiece others people 's life and cultures so I decided to go to Paris as soon as I finished university,Since always I 'd gotten the idea of travel abroad and experience others people 's life and cultures so I decided to go to Paris as soon as I finished university,[11]
I 'm writing you to complain about the disappointing expirience I had with your theatre,I 'm writing you to complain about the disappointing experience I had with your theatre,[9]
So the show was not good at all and my evening was spoiled in spite of all that advertisement promissed,So the show was not good at all and my evening was spoiled in spite of all that advertisement promissed,[]
So that afternoon in lunch time I went into the teachers room and opened her desk and took the paper out quitely and calmly,So that afternoon in lunch time I went into the teachers room and opened her desk and took the paper out quitely and calmly,[]
Sencerely,Sincerely,[0]
She spent this only for a magazin,She spent this only for a magazine,[6]
I suggest it would be very intresting to meet artists from far and exotic countries,I suggest it would be very interesting to meet artists from far and exotic countries,[6]
Also some concerts holls were too small for this much people,Also some concerts halls were too small for this much people,[3]
The school is like a dungeen here,The school is like a dungeon here,[5]
I do n't went to be so evel about school but the rules are rules and they are limiting us with the borders of our school,I do n't went to be so evil about school but the rules are rules and they are limiting us with the borders of our school,[7]
We are not allowed to compare our thoughts during the lessons becase the teachers think that we are chatting,We are not allowed to compare our thoughts during the lessons because the teachers think that we are chatting,[11]
I had been looking forward to see my favorite Danny Brook but he had been replaced by some other actor,I had been looking forward to see my favourite Danny Brook but he had been replaced by some other actor,[8]
I was not too happy about that and why did n't the theatre start when it was suposed to start,I was not too happy about that and why did n't the theatre start when it was supposed to start,[17]
Your advertisement was ful of false advertising,Your advertisement was full of false advertising,[3]
Nowdays I spend 2 hours intent of the computer every day shopping or chatting to people,Nowadays I spend 2 hours intent of the computer every day shopping or chatting to people,[0]
I could get her as well simmer for a second or two then she suddenly sarted shouting uncontrollably Never have I met such a poor cow like Pat hurled Olga at me through the phone,I could get her as well simmer for a second or two then she suddenly started shouting uncontrollably Never have I met such a poor cow like Pat hurled Olga at me through the phone,[15]
My second choise is golf,My second choice is golf,[2]
As I have told you I had a chance to help at a concert of Majesty a local band in which one of my friends played guiter,As I have told you I had a chance to help at a concert of Majesty a local band in which one of my friends played guiter,[]
At first I just helped setting up the stage setting microphones and tuning guiters,At first I just helped setting up the stage setting microphones and tuning guiters,[]
He explained me that it was to controll the light,He explained me that it was to control the light,[7]
It was fun practicing how to move the lights and change the lights,It was fun practising how to move the lights and change the lights,[3]
Beside that I 'm alergic that make me problem when I 'm close to the nature,Beside that I 'm allergic that make me problem when I 'm close to the nature,[4]
Your sincerelly,Your sincerely,[1]
I think the result of that action was marvelous,I think the result of that action was marvellous,[8]
The light on the stage was very bright and very warm what 's made the scenery very pleasent,The light on the stage was very bright and very warm what 's made the scenery very pleasant,[17]
The organisers paid for my acommodation and travel to Ireland,The organisers paid for my accommodation and travel to Ireland,[5]
On the next day I helped them to built the scenary and I had enough time to visit a museum in Dublin in the evening,On the next day I helped them to built the scenery and I had enough time to visit a museum in Dublin in the evening,[10]
In order to know what sort of the clothes I have to take please can you inform me about the normal weather for this periode,In order to know what sort of the clothes I have to take please can you inform me about the normal weather for this periode,[]
Conclution,Conclusion,[0]
I have always been interested in visiting other contries,I have always been interested in visiting other countries,[8]
Below is a summary of the most important relevent points with some recommendations,Below is a summary of the most important relevant points with some recommendations,[8]
The other one I have choosen is swimming for the same reason why I chose Basketball,The other one I have chosen is swimming for the same reason why I chose Basketball,[5]
For exemple if the shop is full of people is not enjoyable because they will create too confusion too noise with the risk of leaving time,For example if the shop is full of people is not enjoyable because they will create too confusion too noise with the risk of leaving time,[1]
First it helps my social life to be convinient,First it helps my social life to be convenient,[8]
To sum it up as technology is improving my life itself is becoming convinient,To sum it up as technology is improving my life itself is becoming convinient,[]
My Russian friend ivited me to set up a new exiting business,My Russian friend invited me to set up a new exiting business,[3]
I had a nice expirience as manager too,I had a nice experience as manager too,[4]
I am writting about this letter that I recently received from you which is about a competition that I have won the first prize,I am writing about this letter that I recently received from you which is about a competition that I have won the first prize,[2]
People are used to go to the shopping because it is easier and familiare it is one place where you can have lunch or dinner watch some movie after that and if you want buy something at the shops,People are used to go to the shopping because it is easier and familiar it is one place where you can have lunch or dinner watch some movie after that and if you want buy something at the shops,[13]
First the actors who were suppoused to star in this show were not the ones put in there,First the actors who were supposed to star in this show were not the ones put in there,[5]
Appart from this the show started fourty five minutes later,Apart from this the show started fourty five minutes later,[0]
I am now writting this letter to give you further information about myself with pleasure,I am now writing this letter to give you further information about myself with pleasure,[3]
Regarding to the accomodation I would prefer to stay in tents because I think it will be closer to the nature,Regarding to the accommodation I would prefer to stay in tents because I think it will be closer to the nature,[3]
Tennis is my favourate sports evant,Tennis is my favourite sports evant,[3]
Shopping is becoming a popular way of killing time nowdays,Shopping is becoming a popular way of killing time nowdays,[]
The accomodation that best suits me is in log cabins as the space in tents is very limited and I am not used to have all my belongings in order and packed at all times,The accommodation that best suits me is in log cabins as the space in tents is very limited and I am not used to have all my belongings in order and packed at all times,[1]
There are many things that can go wrong in the process of adquiring a product or service,There are many things that can go wrong in the process of acquiring a product or service,[12]
At the end all depends in our attitud to life including shopping,At the end all depends in our attitude to life including shopping,[7]
But even without money to spend is fun to rush from time to time in the sales that seasonaly appear or simply look at the superb displays that shops have in their showrooms,But even without money to spend is fun to rush from time to time in the sales that seasonally appear or simply look at the superb displays that shops have in their showrooms,[18]
Yours sincerelly,Yours sincerely,[1]
First I did n't accept but finally she conviced me,First I did n't accept but finally she convinced me,[8]
The staff in that departnent are really friendly and helpful and they are also huge like giants,The staff in that department are really friendly and helpful and they are also huge like giants,[4]
By the way I have already been invited their next concernt,By the way I have already been invited their next concernt,[]
You said that some discouns was available,You said that some discounts was available,[4]
In the advertisemen you wrote your perfect evening out that 's very funny,In the advertisement you wrote your perfect evening out that 's very funny,[2]
I think it depents if you are a man or a woman and now I have to say I am a woman and I enjoy it,I think it depends if you are a man or a woman and now I have to say I am a woman and I enjoy it,[3]
I always prefer read books that are inusual in some way because they give me the opportunity of escape from the everyday reality,I always prefer read books that are unusual in some way because they give me the opportunity of escape from the everyday reality,[7]
According to the owener of the restaurant it was closed because the plugs of some lights were cut off,According to the owner of the restaurant it was closed because the plugs of some lights were cut off,[3]
Some people are in a hurry other are agressive and most of the other are very stressed,Some people are in a hurry other are aggressive and most of the other are very stressed,[8]
I am writting this letter to complain about the treatment that we have received when we went to the Circle theatre in order to see the musical show Over the rainbow whose actors were Anthony Keens and Tina Truelove,I am writing this letter to complain about the treatment that we have received when we went to the Circle theatre in order to see the musical show Over the rainbow whose actors were Anthony Keens and Tina Truelove,[2]
At first I was irritated that contrary to your announcements no discounts were availlable,At first I was irritated that contrary to your announcements no discounts were available,[13]
To my greatest disappointement Danny Brooks was not in the show but his part was played by an actor whose lack of singing and acting skills did not make him a suitable replacement,To my greatest disappointment Danny Brooks was not in the show but his part was played by an actor whose lack of singing and acting skills did not make him a suitable replacement,[3]
yours sincerelly,yours sincerely,[1]
The technology is essencial to our life we need it on each minute on each second,The technology is essential to our life we need it on each minute on each second,[3]
Good because you can have acess to a lot of informations and it is bad because the computers are getting the people 's work,Good because you can have access to a lot of informations and it is bad because the computers are getting the people 's work,[5]
We are really appriciate about giving very nice program which is organised by your this time,We are really appreciate about giving very nice program which is organised by your this time,[3]
It said that as one of the reasons small separete room makes kids unsociable and dissapointed,It said that as one of the reasons small separate room makes kids unsociable and dissapointed,[9]
Otherwise as producing new electoronic our home of future will be more convinient,Otherwise as producing new electronic our home of future will be more convinient,[4]
It is increible because I learnt some spanish words such us Hello How are you good bye,It is incredible because I learnt some spanish words such us Hello How are you good bye,[2]
It seems to me that all these failures were your falt because you were responsible for the arrangement of the show,It seems to me that all these failures were your fault because you were responsible for the arrangement of the show,[10]
Please reply at your earliest convinience,Please reply at your earliest convenience,[5]
That is why I think that modern techology helps me in my daily life,That is why I think that modern technology helps me in my daily life,[7]
Yours sincerly,Yours sincerely,[1]
I have once experienced to have been soaked while I was sleeping in a tent dut to heavy rain several years ago,I have once experienced to have been soaked while I was sleeping in a tent due to heavy rain several years ago,[15]
I would be really greateful if you could send me some information or any relevant brochure,I would be really grateful if you could send me some information or any relevant brochure,[4]
I 'm writting you because I wanted to tell you what a bad experience I had during my holidays when I went to see the play on your theatre,I 'm writing you because I wanted to tell you what a bad experience I had during my holidays when I went to see the play on your theatre,[2]
People are getting more and more adicted to this because helps every day life to be easier and more confortable,People are getting more and more addicted to this because helps every day life to be easier and more confortable,[6]
I 've been recently to one of yours musical shows called Over the rainbow in the Circle theatre in London thinking it might be a good idea but it was desappointing,I 've been recently to one of yours musical shows called Over the rainbow in the Circle theatre in London thinking it might be a good idea but it was desappointing,[]
I 'm writting this letter to explain you what had happened and look for a solution,I 'm writing this letter to explain you what had happened and look for a solution,[2]
And that 's the history of how I lose the oportunity to go to the only concert that Oasis had done in my city,And that 's the history of how I lose the opportunity to go to the only concert that Oasis had done in my city,[10]
Well some people would agree whereas others would desagree,Well some people would agree whereas others would desagree,[]
I was boried so I decided to follow him to discover where he was going,I was bored so I decided to follow him to discover where he was going,[2]
I would prefer to be accomodated in a log cabin as do not like sleeping on the mattres and I get allergy to rubber,I would prefer to be accommodated in a log cabin as do not like sleeping on the mattres and I get allergy to rubber,[5]
In the advertisment I had read that Danny Brook was starring but she was not,In the advertisement I had read that Danny Brook was starring but she was not,[2]
Moreover the discounts were not available as you say in the advertisment and I paid 20,Moreover the discounts were not available as you say in the advertisement and I paid 20,[11]
I would like some refand because It was one of the worst evenings in my life it if this matter does not solve I will go further,I would like some refund because It was one of the worst evenings in my life it if this matter does not solve I will go further,[4]
Everybod agreed with her,Everybody agreed with her,[0]
I 've recived your letter and I 'm very happy to know that I won the competition and the first prize,I 've received your letter and I 'm very happy to know that I won the competition and the first prize,[2]
I prefere to do some climbing because that 's what I do in my spare time and I do it quite well,I prefer to do some climbing because that 's what I do in my spare time and I do it quite well,[1]
I do n't know what tipe of clothes do I have to take and the amount of money that I 'm going to spend so if you please could help me giving me this information I would be very pleased,I do n't know what type of clothes do I have to take and the amount of money that I 'm going to spend so if you please could help me giving me this information I would be very pleased,[5]
Shooping is not always enjoyable,Shopping is not always enjoyable,[0]
We all have been shooping once in our lifes and sometimes it probably has not been very enjoyable why we had a class discussion and we all agree in some points,We all have been shopping once in our lifes and sometimes it probably has not been very enjoyable why we had a class discussion and we all agree in some points,[4]
I 'm writting to you because I 've been in the International Arts Festival and it was a pleasure,I 'm writing to you because I 've been in the International Arts Festival and it was a pleasure,[2]
However technology has a bad influence on us generally on our healf,However technology has a bad influence on us generally on our healf,[]
When Sally came out the dyscotheque I was very nervous and I started to shout her,When Sally came out the discotheque I was very nervous and I started to shout her,[5]
Unfortunately I was very disappointed with it I was expected opposit,Unfortunately I was very disappointed with it I was expected opposit,[]
First of all the advertisement where you have advertised your program and what the theatre was providing for you is totaly wrong,First of all the advertisement where you have advertised your program and what the theatre was providing for you is totally wrong,[20]
Another thing is that I took a particular amount of money to buy a tickets and when I apeared infrant of casses I found out that the cost of tickets on your advertisement and real price was n't the same real price was much higher,Another thing is that I took a particular amount of money to buy a tickets and when I appeared infrant of casses I found out that the cost of tickets on your advertisement and real price was n't the same real price was much higher,[18]
Also show started very late compere to what was writen on the advertisement,Also show started very late compere to what was written on the advertisement,[9]
I 'm looking forword hearing from you,I 'm looking forward hearing from you,[3]
Faithfuly yours,Faithfully yours,[0]
Society has to go forword not to stop on one place,Society has to go forward not to stop on one place,[4]
As you can see there are some volontary mistakes on the advertisment you made,As you can see there are some volontary mistakes on the advertisment you made,[]
I am writting to complain about a musical show last weekend when I was in London,I am writing to complain about a musical show last weekend when I was in London,[2]
I felt very upset about you advertisement was totaly different between the musical show,I felt very upset about you advertisement was totally different between the musical show,[8]
It was very rediculous,It was very ridiculous,[3]
She enjoyed sharing everthing with Pat whatever what it was,She enjoyed sharing everything with Pat whatever what it was,[3]
Finally they got seperated,Finally they got seperated,[]
It was pitty that too small halls were used for classical concerts,It was pity that too small halls were used for classical concerts,[2]
When the sons were old they began to tell about their life beginning with this story happend a long time ago,When the sons were old they began to tell about their life beginning with this story happened a long time ago,[16]
17th Juni 2000,17th June 2000,[1]
In advertisment starring was very interested Danny Brook and Tina Truelove,In advertisement starring was very interested Danny Brook and Tina Truelove,[1]
I desided to go to your theatre but at the beginning was the tranbles,I decided to go to your theatre but at the beginning was the tranbles,[1]
In advertisment was discounts available,In advertisement was discounts available,[1]
I 'm teacher and in Polan I have discounts but in England no I know this is other country,I 'm teacher and in Poland I have discounts but in England no I know this is other country,[5]
The people will wear clothes from natural materials like silk comfortable and elgant,The people will wear clothes from natural materials like silk comfortable and elgant,[]
It seems like a good oportunity to practice it,It seems like a good opportunity to practice it,[5]
I agree that shopping is not always ejoyable because a lot of things could occur you,I agree that shopping is not always enjoyable because a lot of things could occur you,[7]
Therefore she had to do a lot of tramits to cancell their credit cards and to change her flight ticket,Therefore she had to do a lot of tramits to cancel their credit cards and to change her flight ticket,[10]
For exemple you go into a cloth shop you see all those women running around trying to find the shirt that would fit their new skirt so they are looking every where pushing you because they think that you will take the shirt that they want,For example you go into a cloth shop you see all those women running around trying to find the shirt that would fit their new skirt so they are looking every where pushing you because they think that you will take the shirt that they want,[1]
I would prefer a tent since for me if I go to a camp or and excurcion it wo n't be the same if I slept in a cabin,I would prefer a tent since for me if I go to a camp or and excursion it wo n't be the same if I slept in a cabin,[16]
I 'm not quite a young man and during the past years of my life I gothave become accostomed to some more comfort,I 'm not quite a young man and during the past years of my life I gothave become accustomed to some more comfort,[18]
Yours faithfuly,Yours faithfully,[1]
The food was deligious and fortunately I do not had to pay for it,The food was delicious and fortunately I do not had to pay for it,[3]
I am very pleased to be the winer in your competition,I am very pleased to be the winner in your competition,[7]
Novadays our shopping habits seem to be changed I can clearly remember my childhood and our only local shop,Nowadays our shopping habits seem to be changed I can clearly remember my childhood and our only local shop,[0]
I 'd walked arround about 15 minutes until I found the door,I 'd walked around about 15 minutes until I found the door,[3]
When I entered into the shope I was a bit angry,When I entered into the shop I was a bit angry,[5]
In fact this activity seems to be very interresting,In fact this activity seems to be very interresting,[]
The better to do would be to present the cooking personnal for they are very nice,The better to do would be to present the cooking personnel for they are very nice,[10]
I advise to finish with a lesson of Chemistry so that people see the laboratery,I advise to finish with a lesson of Chemistry so that people see the laboratory,[14]
The advertisment assured us a perfect evening but it was n't so I would highly appreciate if you could refund completely our tickets,The advertisement assured us a perfect evening but it was n't so I would highly appreciate if you could refund completely our tickets,[1]
I 'm writting to you to complain about the musical show that I saw when I went to the theatre on my holidays in London,I 'm writing to you to complain about the musical show that I saw when I went to the theatre on my holidays in London,[2]
He is my favorite actor and I pay to saw him not to saw a different actor,He is my favourite actor and I pay to saw him not to saw a different actor,[3]
Carol 16 years old girl said I imagine clothes in the future very strang,Carol 16 years old girl said I imagine clothes in the future very strang,[]
They would be sinthetic clothes I think made of plastic or something similar,They would be synthetic clothes I think made of plastic or something similar,[3]
Most young people as Carol believe the same and use their minds to imagin the variety of clothes in the future,Most young people as Carol believe the same and use their minds to imagine the variety of clothes in the future,[13]
After wear they 'll be the ones that dicide How the Fashion of the Future will be like,After wear they 'll be the ones that decide How the Fashion of the Future will be like,[8]
People have seen in the last 10 years how diferent our clothes had become to,People have seen in the last 10 years how different our clothes had become to,[9]
Clothes that used to be made of coton but nowadays we can see shirts pants socks made of almost everything,Clothes that used to be made of cotton but nowadays we can see shirts pants socks made of almost everything,[7]
In the future we wo n't by clothes by size or even color our clothes will adapt to our body the weather our fit so our necessities,In the future we wo n't by clothes by size or even colour our clothes will adapt to our body the weather our fit so our necessities,[12]
I saw the musical show in your advertisment in my holiday,I saw the musical show in your advertisement in my holiday,[7]
I think after 100 years at least something will change in the point that design material color etc,I think after 100 years at least something will change in the point that design material color etc,[]
For exemple how much pocket money will be enough and which kind of clothes I should wear,For example how much pocket money will be enough and which kind of clothes I should wear,[1]
We think that is a great opportunity and we are all very interesting to go because we can see there the latest fashions leisure and sports wear lot kinds of make up and some of the famous hairstylers,We think that is a great opportunity and we are all very interesting to go because we can see there the latest fashions leisure and sports wear lot kinds of make up and some of the famous hairstylers,[]
The show is absolutly free for students,The show is absolutely free for students,[3]
The whole show and acting was an profeccion like scholl theatre,The whole show and acting was an profeccion like school theatre,[9]
It was last poin to get me angry,It was last point to get me angry,[3]
After evrything what happend we went to hotel tipped and very affect,After everything what happend we went to hotel tipped and very affect,[1]
From small village to town was very long way becouse the people used horse and wagon,From small village to town was very long way because the people used horse and wagon,[9]
Looking forward to your repply,Looking forward to your reply,[4]
It was such a wonderful experiece,It was such a wonderful experience,[5]
When Jane asked me to help her with the organisation of the publicity and specially with the inverviews I just could n't believe it,When Jane asked me to help her with the organisation of the publicity and specially with the interviews I just could n't believe it,[17]
In the area of publicity we were about 50 guys all of us investigating calling to radio stations organizing the reporters specifying where the press would be for the interview that took place afterwards yet it was an incredible satisfation when everything finished just fine,In the area of publicity we were about 50 guys all of us investigating calling to radio stations organizing the reporters specifying where the press would be for the interview that took place afterwards yet it was an incredible satisfation when everything finished just fine,[]
I was few of the lukiest people from my school to be picked up to help at the pop concert which took place in my town,I was few of the luckiest people from my school to be picked up to help at the pop concert which took place in my town,[5]
However the best part was watching and listening to the singers and bands practicing on the stage,However the best part was watching and listening to the singers and bands practising on the stage,[13]
He started to consum the stuff at the age of twenty,He started to consume the stuff at the age of twenty,[3]
But I have booked a flight to home at the beginning of Auguest,But I have booked a flight to home at the beginning of August,[12]
Nowdays internet makes us closer and closer,Nowadays internet makes us closer and closer,[0]
3 Liabrary,3 Liabrary,[]
With reference to the accomodation I would rather stay in tent because I think it is the best way to socialize,With reference to the accommodation I would rather stay in tent because I think it is the best way to socialize,[4]
In addition I need to know whether meals are included or not in the accomodation so that I could decide how much I must have with me,In addition I need to know whether meals are included or not in the accommodation so that I could decide how much I must have with me,[14]
In that moment Ake exlaimed that I could play the piano,In that moment Ake exclaimed that I could play the piano,[4]
Often you causes very litte and short robes and tops,Often you causes very little and short robes and tops,[4]
The sommers and winters get warmer,The summers and winters get warmer,[1]
I really apreciate this kind of trip and I 'm really thank your truly attention,I really appreciate this kind of trip and I 'm really thank your truly attention,[2]
Yours sincirely,Yours sincerely,[1]
I am writing to you becaus I was very disappointing with the presentation you have made to attract people to come to your theatre,I am writing to you because I was very disappointing with the presentation you have made to attract people to come to your theatre,[5]
Your faithfull,Your faithful,[1]
Could you please let me know where will I eate if will there be a vegetarian menu and how much is it,Could you please let me know where will I eat if will there be a vegetarian menu and how much is it,[9]
And please could you give me details about how does the weather like there and what type the clothes will I have to bringh,And please could you give me details about how does the weather like there and what type the clothes will I have to bring,[23]
Yours sincerily,Yours sincerely,[1]
I 'm writting this letter to complain about the musical show I saw during my stay in London,I 'm writing this letter to complain about the musical show I saw during my stay in London,[2]
If I feel like talking to a friend I just have to call him and whereever he is I will be able to get through to him,If I feel like talking to a friend I just have to call him and wherever he is I will be able to get through to him,[15]
I 'm extremly happy because not only do I earn a lot of money but also I 'm learning a lot,I 'm extremely happy because not only do I earn a lot of money but also I 'm learning a lot,[2]
I 'd like to travell in july because I 've got an examination at USP in Roo Cohelo in July,I 'd like to travel in july because I 've got an examination at USP in Roo Cohelo in July,[4]
And I 'd like to stay in a log cabins because I ca n't bear sleeping in a tent I hate this kind of accomodation,And I 'd like to stay in a log cabins because I ca n't bear sleeping in a tent I hate this kind of accomodation,[]
It was very fortuanate of me,It was very fortunate of me,[3]
